Timestamp,Tank,Fill level,Temperature,Pressure,Volume
"5/28/2026, 5:19:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:19:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:20:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:20:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:21:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:21:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:22:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:22:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:23:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:23:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:24:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:24:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:25:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:25:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:26:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:26:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:27:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:27:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:28:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:28:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:29:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:29:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:30:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:30:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:31:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:31:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:32:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:32:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:33:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:33:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:34:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:34:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:35:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:35:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:36:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:36:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:37:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:37:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:38:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:38:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:39:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:39:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:40:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:40:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:41:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:41:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:42:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:42:31 PM","TK101","99","290","1.3","12000"
